t = 0.0952
           x           u
     -0.0100      0.9969
      0.0100      0.9940
      0.0300      0.9900
      0.0500      0.9851
      0.0700      0.9792
      0.0900      0.9724
      0.1100      0.9646
      0.1300      0.9558
      0.1500      0.9461
      0.1700      0.9354
      0.1900      0.9239
      0.2100      0.9114
      0.2300      0.8980
      0.2500      0.8838
      0.2700      0.8686
      0.2900      0.8526
      0.3100      0.8358
      0.3300      0.8181
      0.3500      0.7997
      0.3700      0.7804
      0.3900      0.7604
      0.4100      0.7396
      0.4300      0.7181
      0.4500      0.6959
      0.4700      0.6730
      0.4900      0.6494
      0.5100      0.6252
      0.5300      0.6004
      0.5500      0.5750
      0.5700      0.5490
      0.5900      0.5225
      0.6100      0.4955
      0.6300      0.4679
      0.6500      0.4399
      0.6700      0.4115
      0.6900      0.3827
      0.7100      0.3535
      0.7300      0.3239
      0.7500      0.2940
      0.7700      0.2639
      0.7900      0.2334
      0.8100      0.2028
      0.8300      0.1719
      0.8500      0.1409
      0.8700      0.1097
      0.8900      0.0785
      0.9100      0.0471
      0.9300      0.0000
      0.9500      0.0000
      0.9700      0.9999
      0.9900      0.9987
